"","id","stNumber","stName","type","capacity"
"600",7626268,749,"dovercourt rd","Ring",1
"601",7626269,533,"st clair ave w","Ring",1
"602",7626270,101,"college st","Ring",1
"603",7626271,313,"sherbourne st","Ring",1
"604",7626272,608,"sherbourne st","Ring",1
"605",7626273,566,"church st","Ring",1
"606",7626274,540,"yonge st","Ring",1
"607",7626275,540,"yonge st","Ring",1
"608",7626276,540,"yonge st","Ring",1
"609",7626277,111,"geary ave","Ring",1
"610",7626278,111,"geary ave","Ring",1
"611",7626279,115,"geary ave","Ring",1
"612",7626280,1830,"davenport rd","Ring",1
"613",7626281,3355,"dundas st w","Ring",1
"614",7626282,373,"eglinton ave w",NA,1
"615",7626283,3355,"dundas st w","Ring",1
"616",7626284,1317,"st clair ave w","Ring",1
"617",7626285,409,"bloor st e","Ring",1
"618",7626286,819,"bathurst st",NA,1
"619",7626287,650,"king st w","Ring",1
"620",7626288,1617,"dupont st","Ring",1
"621",7626289,2770,"danforth ave","Ring",1
"622",7626290,2770,"danforth ave","Ring",1
"623",7626291,2315,"danforth ave","Ring",1
"624",7626292,2315,"danforth ave","Ring",1
"625",7626293,1716,"danforth ave","Ring",1
"626",7626294,485,"danforth ave","Ring",1
"627",7626295,485,"danforth ave","Ring",1
"628",7626296,350,"coxwell ave","Ring",1
"629",7626297,350,"coxwell ave","Ring",1
"630",7626298,302,"gerrard st e","Ring",1
"631",7626299,525,"dundas st e","Ring",1
"632",7626300,525,"dundas st e","Ring",1
"633",7626301,10,"cole st","Ring",1
"634",7626302,10,"cole st","Ring",1
"635",7626303,10,"cole st","Ring",1
"636",7626304,154,"dundas st e","Ring",1
"637",7626305,154,"dundas st e","Ring",1
"638",7626306,154,"dundas st e","Ring",1
"639",7626307,105,"mutual st","Ring",1
"640",7626308,2,"church st","Ring",1
"641",7626309,2,"church st","Ring",1
"642",7626310,107,"jarvis st","Ring",1
"643",7626311,1,"yonge st","Ring",1
"644",7626312,907,"kingston rd","Ring",1
